ind	pop	simulation_replicate	AQ_assignment_rate	pop_diff	admix_scenario	gen_to_admix	total_sim_rep
W1-23	W1	rep09	0	eq10400_s3270	cons0.001	1	10
W1-23	W1	rep10	0	eq10400_s3270	cons0.001	1	10
W1-24	W1	rep01	0	eq10400_s3270	cons0.001	1	10
W1-24	W1	rep02	0.0014	eq10400_s3270	cons0.001	1	10
W1-24	W1	rep03	0	eq10400_s3270	cons0.001	1	10
W1-24	W1	rep04	0	eq10400_s3270	cons0.001	1	10
W1-24	W1	rep05	0	eq10400_s3270	cons0.001	1	10
W1-24	W1	rep06	0	eq10400_s3270	cons0.001	1	10
W1-24	W1	rep07	4e-4	eq10400_s3270	cons0.001	1	10
W1-24	W1	rep08	0	eq10400_s3270	cons0.001	1	10
W1-24	W1	rep09	0	eq10400_s3270	cons0.001	1	10
W1-24	W1	rep10	0	eq10400_s3270	cons0.001	1	10
W1-25	W1	rep01	0	eq10400_s3270	cons0.001	1	10
W1-25	W1	rep02	1e-4	eq10400_s3270	cons0.001	1	10
W1-25	W1	rep03	9.000000000000001e-4	eq10400_s3270	cons0.001	1	10
W1-25	W1	rep04	0	eq10400_s3270	cons0.001	1	10
W1-25	W1	rep05	0	eq10400_s3270	cons0.001	1	10
W1-25	W1	rep06	0	eq10400_s3270	cons0.001	1	10
W1-25	W1	rep07	0	eq10400_s3270	cons0.001	1	10
W1-25	W1	rep08	0	eq10400_s3270	cons0.001	1	10
W1-25	W1	rep09	0	eq10400_s3270	cons0.001	1	10
W1-25	W1	rep10	0	eq10400_s3270	cons0.001	1	10
W1-26	W1	rep01	0	eq10400_s3270	cons0.001	1	10
W1-26	W1	rep02	5e-4	eq10400_s3270	cons0.001	1	10
W1-26	W1	rep03	0	eq10400_s3270	cons0.001	1	10
W1-26	W1	rep04	0	eq10400_s3270	cons0.001	1	10
W1-26	W1	rep05	1e-4	eq10400_s3270	cons0.001	1	10
W1-26	W1	rep06	0	eq10400_s3270	cons0.001	1	10
W1-26	W1	rep07	0	eq10400_s3270	cons0.001	1	10
W1-26	W1	rep08	5e-4	eq10400_s3270	cons0.001	1	10
W1-26	W1	rep09	0	eq10400_s3270	cons0.001	1	10
W1-26	W1	rep10	0	eq10400_s3270	cons0.001	1	10
W1-27	W1	rep01	0	eq10400_s3270	cons0.001	1	10
W1-27	W1	rep02	0	eq10400_s3270	cons0.001	1	10
W1-27	W1	rep03	0	eq10400_s3270	cons0.001	1	10
W1-27	W1	rep04	0	eq10400_s3270	cons0.001	1	10
W1-27	W1	rep05	0	eq10400_s3270	cons0.001	1	10
W1-27	W1	rep06	1e-4	eq10400_s3270	cons0.001	1	10
