simulation_replicate	pop	mean	var	freq_unadmixed	pop_diff	admix_scenario	gen_to_admix	total_sim_rep
rep10	W1	0.10286666666666666	0.09251440367816093	0.7333333333333333	eq10400_s280	single0.5	1	10
rep01	W2	0.005603333333333333	1.70031367816092e-4	0.8666666666666667	eq10400_s280	single0.5	1	10
rep02	W2	0.00907	3.5078837931034473e-4	0.7333333333333333	eq10400_s280	single0.5	1	10
rep03	W2	0.0031166666666666656	7.022488505747126e-5	0.9	eq10400_s280	single0.5	1	10
rep04	W2	0.004276666666666667	6.970047126436783e-5	0.8333333333333334	eq10400_s280	single0.5	1	10
rep05	W2	0.004503333333333332	7.033067816091952e-5	0.8333333333333334	eq10400_s280	single0.5	1	10
rep06	W2	0.006339999999999998	1.6063834482758617e-4	0.8	eq10400_s280	single0.5	1	10
rep07	W2	0.003199999999999999	3.629586206896551e-5	0.8666666666666667	eq10400_s280	single0.5	1	10
rep08	W2	0.005086666666666666	2.7146395402298854e-4	0.8333333333333334	eq10400_s280	single0.5	1	10
rep09	W2	0.0030033333333333314	4.807481609195399e-5	0.9333333333333333	eq10400_s280	single0.5	1	10
rep10	W2	0.006456666666666666	2.247315057471264e-4	0.8333333333333334	eq10400_s280	single0.5	1	10
rep01	AQ	0.9928666666666667	2.6768574712643725e-4	0	eq10400_s280	single0.8	1	10
rep02	AQ	0.9951633333333333	1.3948171264367815e-4	0	eq10400_s280	single0.8	1	10
rep03	AQ	0.9972033333333333	6.128998850574716e-5	0	eq10400_s280	single0.8	1	10
rep04	AQ	0.9946533333333334	1.6306119540229885e-4	0	eq10400_s280	single0.8	1	10
rep05	AQ	0.9902166666666666	8.869055747126439e-4	0	eq10400_s280	single0.8	1	10
rep06	AQ	0.9977966666666667	1.50203333333333e-5	0	eq10400_s280	single0.8	1	10
rep07	AQ	0.9933433333333334	2.7840322988505775e-4	0	eq10400_s280	single0.8	1	10
rep08	AQ	0.9956866666666667	3.051542988505747e-4	0	eq10400_s280	single0.8	1	10
rep09	AQ	0.99751	5.2906448275861985e-5	0	eq10400_s280	single0.8	1	10
rep10	AQ	0.9922266666666667	4.3552064367816145e-4	0	eq10400_s280	single0.8	1	10
rep01	W1	0.1053	0.0916841827586207	0.7333333333333333	eq10400_s280	single0.8	1	10
rep02	W1	0.03973333333333333	0.03318101609195402	0.8	eq10400_s280	single0.8	1	10
rep03	W1	0.04212333333333333	0.03337188254022989	0.8333333333333334	eq10400_s280	single0.8	1	10
rep04	W1	0.03833	0.03297104975862069	0.8666666666666667	eq10400_s280	single0.8	1	10
rep05	W1	0.06878333333333334	0.0635398966091954	0.9	eq10400_s280	single0.8	1	10
rep06	W1	0.07253666666666667	0.06370105757471264	0.7	eq10400_s280	single0.8	1	10
rep07	W1	0.039536666666666664	0.033149184471264366	0.6666666666666666	eq10400_s280	single0.8	1	10
rep08	W1	0.09947333333333333	0.0872800420229885	0.8	eq10400_s280	single0.8	1	10
rep09	W1	0.07152	0.06384624786206897	0.6666666666666666	eq10400_s280	single0.8	1	10
rep10	W1	0.10320666666666667	0.09231276340229885	0.7333333333333333	eq10400_s280	single0.8	1	10
rep01	W2	0.006899999999999999	1.9342413793103447e-4	0.8	eq10400_s280	single0.8	1	10
rep02	W2	0.005479999999999999	2.42043724137931e-4	0.8	eq10400_s280	single0.8	1	10
rep03	W2	0.004833333333333331	1.4492160919540224e-4	0.8333333333333334	eq10400_s280	single0.8	1	10
rep04	W2	0.004359999999999999	1.357955862068965e-4	0.8666666666666667	eq10400_s280	single0.8	1	10
rep05	W2	0.003373333333333333	4.8891678160919534e-5	0.9	eq10400_s280	single0.8	1	10
rep06	W2	0.008503333333333331	3.839561954022988e-4	0.8333333333333334	eq10400_s280	single0.8	1	10
rep07	W2	0.00401	1.6714024137931034e-4	0.9	eq10400_s280	single0.8	1	10
rep08	W2	0.003993333333333332	1.3230340229885057e-4	0.8666666666666667	eq10400_s280	single0.8	1	10
rep09	W2	0.0034799999999999987	8.889268965517238e-5	0.9	eq10400_s280	single0.8	1	10
