ind	pop	simulation_replicate	AQ_assignment_rate	pop_diff	admix_scenario	gen_to_admix	total_sim_rep
W1-13	W1	rep04	0.04849999999999999	eq10400_s3270	single0.1	6	10
W1-13	W1	rep05	0	eq10400_s3270	single0.1	6	10
W1-13	W1	rep06	0.001	eq10400_s3270	single0.1	6	10
W1-13	W1	rep07	0.001	eq10400_s3270	single0.1	6	10
W1-13	W1	rep08	0	eq10400_s3270	single0.1	6	10
W1-13	W1	rep09	2e-4	eq10400_s3270	single0.1	6	10
W1-13	W1	rep10	0	eq10400_s3270	single0.1	6	10
W1-14	W1	rep01	0.001	eq10400_s3270	single0.1	6	10
W1-14	W1	rep02	0	eq10400_s3270	single0.1	6	10
W1-14	W1	rep03	0	eq10400_s3270	single0.1	6	10
W1-14	W1	rep04	0	eq10400_s3270	single0.1	6	10
W1-14	W1	rep05	0	eq10400_s3270	single0.1	6	10
W1-14	W1	rep06	0.08939999999999998	eq10400_s3270	single0.1	6	10
W1-14	W1	rep07	0.08779999999999998	eq10400_s3270	single0.1	6	10
W1-14	W1	rep08	0	eq10400_s3270	single0.1	6	10
W1-14	W1	rep09	8e-4	eq10400_s3270	single0.1	6	10
W1-14	W1	rep10	0.04539999999999999	eq10400_s3270	single0.1	6	10
W1-15	W1	rep01	0	eq10400_s3270	single0.1	6	10
W1-15	W1	rep02	0	eq10400_s3270	single0.1	6	10
W1-15	W1	rep03	0	eq10400_s3270	single0.1	6	10
W1-15	W1	rep04	0	eq10400_s3270	single0.1	6	10
W1-15	W1	rep05	0	eq10400_s3270	single0.1	6	10
W1-15	W1	rep06	0	eq10400_s3270	single0.1	6	10
W1-15	W1	rep07	0	eq10400_s3270	single0.1	6	10
W1-15	W1	rep08	0.001	eq10400_s3270	single0.1	6	10
W1-15	W1	rep09	0	eq10400_s3270	single0.1	6	10
W1-15	W1	rep10	0	eq10400_s3270	single0.1	6	10
W1-16	W1	rep01	0	eq10400_s3270	single0.1	6	10
W1-16	W1	rep02	0	eq10400_s3270	single0.1	6	10
W1-16	W1	rep03	0.001	eq10400_s3270	single0.1	6	10
W1-16	W1	rep04	0.0037	eq10400_s3270	single0.1	6	10
W1-16	W1	rep05	0	eq10400_s3270	single0.1	6	10
W1-16	W1	rep06	0	eq10400_s3270	single0.1	6	10
W1-16	W1	rep07	0	eq10400_s3270	single0.1	6	10
W1-16	W1	rep08	0.001	eq10400_s3270	single0.1	6	10
W1-16	W1	rep09	0	eq10400_s3270	single0.1	6	10
W1-16	W1	rep10	0.0675	eq10400_s3270	single0.1	6	10
W1-17	W1	rep01	0.0035	eq10400_s3270	single0.1	6	10
W1-17	W1	rep02	0	eq10400_s3270	single0.1	6	10
W1-17	W1	rep03	0	eq10400_s3270	single0.1	6	10
W1-17	W1	rep04	0	eq10400_s3270	single0.1	6	10
W1-17	W1	rep05	0	eq10400_s3270	single0.1	6	10
W1-17	W1	rep06	0.08889999999999998	eq10400_s3270	single0.1	6	10
W1-17	W1	rep07	0	eq10400_s3270	single0.1	6	10
W1-17	W1	rep08	0	eq10400_s3270	single0.1	6	10
W1-17	W1	rep09	0	eq10400_s3270	single0.1	6	10
W1-17	W1	rep10	0	eq10400_s3270	single0.1	6	10
W1-18	W1	rep01	0	eq10400_s3270	single0.1	6	10
W1-18	W1	rep02	0	eq10400_s3270	single0.1	6	10
W1-18	W1	rep03	0	eq10400_s3270	single0.1	6	10
W1-18	W1	rep04	0	eq10400_s3270	single0.1	6	10
W1-18	W1	rep05	0	eq10400_s3270	single0.1	6	10
W1-18	W1	rep06	0	eq10400_s3270	single0.1	6	10
W1-18	W1	rep07	6.000000000000001e-4	eq10400_s3270	single0.1	6	10
W1-18	W1	rep08	0	eq10400_s3270	single0.1	6	10
W1-18	W1	rep09	0	eq10400_s3270	single0.1	6	10
W1-18	W1	rep10	0.03370000000000001	eq10400_s3270	single0.1	6	10
W1-19	W1	rep01	0	eq10400_s3270	single0.1	6	10
W1-19	W1	rep02	0	eq10400_s3270	single0.1	6	10
W1-19	W1	rep03	0	eq10400_s3270	single0.1	6	10
W1-19	W1	rep04	0	eq10400_s3270	single0.1	6	10
W1-19	W1	rep05	0	eq10400_s3270	single0.1	6	10
W1-19	W1	rep06	0	eq10400_s3270	single0.1	6	10
W1-19	W1	rep07	0	eq10400_s3270	single0.1	6	10
W1-19	W1	rep08	0	eq10400_s3270	single0.1	6	10
W1-19	W1	rep09	0.0252	eq10400_s3270	single0.1	6	10
W1-19	W1	rep10	2e-4	eq10400_s3270	single0.1	6	10
W1-20	W1	rep01	0	eq10400_s3270	single0.1	6	10
W1-20	W1	rep02	0	eq10400_s3270	single0.1	6	10
W1-20	W1	rep03	0.0041	eq10400_s3270	single0.1	6	10
W1-20	W1	rep04	0.001	eq10400_s3270	single0.1	6	10
W1-20	W1	rep05	0	eq10400_s3270	single0.1	6	10
W1-20	W1	rep06	0	eq10400_s3270	single0.1	6	10
W1-20	W1	rep07	0	eq10400_s3270	single0.1	6	10
W1-20	W1	rep08	0	eq10400_s3270	single0.1	6	10
W1-20	W1	rep09	0.09729999999999998	eq10400_s3270	single0.1	6	10
W1-20	W1	rep10	0	eq10400_s3270	single0.1	6	10
W1-21	W1	rep01	0	eq10400_s3270	single0.1	6	10
W1-21	W1	rep02	0	eq10400_s3270	single0.1	6	10
