bamhead	mean_depth	sd_depth	mean_depth_nonzero	mean_depth_within2sd	median	proportion_of_reference_covered
FI1012_019-RG.bam.depth.gz	0.128991818547336	3.90750770469156	37.9255781020074	0.00170730382777462	0	0.00340118265832246
FI1012_020-RG.bam.depth.gz	0.306865697122207	7.75595892917368	79.0169922527963	0.0034424675430647	0	0.00388354059517515
FI1012_021-RG.bam.depth.gz	0.148014642643934	3.92985436563732	38.8289985100422	0.00241001741575685	0	0.00381196137741268
FIS1013a_001-RG.bam.depth.gz	0.0464942259849513	1.09178971212702	15.040538867839	0.000415734828055378	0	0.00309126065186299
FIS1013a_002-RG.bam.depth.gz	0.0403881515545455	1.03176440718059	13.1919493744795	0.000428912155319954	0	0.00306157569348056
FIS1013a_003-RG.bam.depth.gz	0.146409649703335	3.77039665415114	42.3627171587071	0.00148374855713856	0	0.00345609676440029
FIS1013a_005-RG.bam.depth.gz	0.0485804216521389	1.37220089492791	15.6041705660469	0.000412585666274192	0	0.00311329727180949
FIS1013a_006-RG.bam.depth.gz	0.175759575227519	4.54481050081193	51.4551394093211	0.00175260300862811	0	0.00341578270402497
FIS1013a_007-RG.bam.depth.gz	0.0890175885846141	2.18072333294853	27.9441456062534	0.000772662323057708	0	0.00318555413498618
FIS1013a_008-RG.bam.depth.gz	0.0551351878942503	1.43550065188528	17.7378376613278	0.000389768572553983	0	0.00310833760838989
FIS1013a_009-RG.bam.depth.gz	0.130519072122789	2.99114316401281	39.0104408155177	0.00114300721861369	0	0.00334574717419964
FIS1013a_010-RG.bam.depth.gz	0.620387601376672	15.5033268396696	155.015147025552	0.00591182389237594	0	0.00400210955690864
FIS1013a_011-RG.bam.depth.gz	0.416724394558787	9.92571098455193	110.51886644832	0.0037771409256842	0	0.0037706177049317
FIS1013a_012-RG.bam.depth.gz	0.360764464000874	8.63168970186138	95.2111689945523	0.00328538948072837	0	0.00378909814689625
FIS1013a_013-RG.bam.depth.gz	0.128966157108656	4.25954037502529	39.5813759186447	0.001545452291603	0	0.0032582535123019
FIS1013a_014-RG.bam.depth.gz	0.248516442870358	6.68588085647266	69.3644491041104	0.00250791958243613	0	0.00358276388092225
FIS1013a_015-RG.bam.depth.gz	0.127765373815929	3.66613350508297	38.6041722193294	0.00148709716703418	0	0.00330962604482481
FIS1013a_017-RG.bam.depth.gz	0.0241862601655519	0.723616142133125	8.33474335081554	0.000303702648978599	0	0.002901860219031
FIS1013a_018-RG.bam.depth.gz	0.0080432757330227	0.232842063195418	3.27820846304486	0	0	0.00245355834557102
FIS1013a_019-RG.bam.depth.gz	0.0099990275788322	0.285360364521991	3.82206766268805	0	0	0.00261613044594776
FIS1013a_020-RG.bam.depth.gz	0.039474938192743	1.11370819961437	12.9754316113683	0.000447495431648448	0	0.00304228324537311
FIS1013a_021-RG.bam.depth.gz	0.0428757586613031	1.04291718112625	13.9532430843462	0.000421842089031906	0	0.00307281672096602
FIS1013a_023-RG.bam.depth.gz	0.0890371964884288	2.12804258247906	27.4187142514057	0.000769926137572684	0	0.00324731479645597
FIS1013a_024-RG.bam.depth.gz	0.654424449724665	15.4485215186151	166.636130100372	0.00570143268727794	0	0.00392726624970482
FIS1013a_025-RG.bam.depth.gz	0.229590673954146	5.44441119965103	65.2325552348922	0.00202808092285593	0	0.00351957198560347
FIS1013a_026-RG.bam.depth.gz	0.0235091025392249	0.59918811923795	8.02936357147382	0.000284648065306739	0	0.00292789114977038
GRV612s_001-RG.bam.depth.gz	0.00644925655900999	0.204116462926964	2.72393730939668	0	0	0.00236762297603745
GRV612s_002-RG.bam.depth.gz	0.00668914595653504	0.222067276753469	2.80390667230686	0	0	0.00238565214120675
GRV612s_003-RG.bam.depth.gz	0.0130411764634635	0.37977582460072	4.24261263375749	0	0	0.0030738550957279
GRV612s_007-RG.bam.depth.gz	0.0166738962474951	0.551939908020556	5.20383206097824	0.000772001184638171	0	0.00320415725413779
GRV612s_015-RG.bam.depth.gz	0.0175610903620767	0.516201714666221	5.48046321304829	0.000758470976317481	0	0.0032043076797362
GRV612s_018-RG.bam.depth.gz	0.013963419742495	0.450696681279322	4.54233224142887	0	0	0.00307406393903444
